filename	frame_nb	local_id_bonds	bond_size_in_px	bond_length_in_px	bond_orientation	vx_1_x	vx_1_y	vx_2_x	vx_2_y	sum_px_int_vertices_excluded_ch1	sum_px_int_vertices_excluded_ch2	sum_px_int_vertices_excluded_ch3	sum_px_int_vertices_excluded_12bits	sum_px_int_vertices_included_ch1	sum_px_int_vertices_included_ch2	sum_px_int_vertices_included_ch3	sum_px_int_vertices_included_12bits	first_pixel_x_bonds	first_pixel_y_bonds	cell_id_around_bond1	cell_id_around_bond2	
E14_75I_6_0.tif	9	94	28	33.627416997969526	150.0	29	396	3	411	26614.0	9895.0	4871.0	26614.0	28963.0	10873.0	5302.0	28963.0	28	396	16	21
E14_75I_6_0.tif	9	95	3	2.414213562373095	27.0	3	411	1	410	1261.0	790.0	41.0	1261.0	3602.0	2091.0	132.0	3602.0	2	410	16	17
E14_75I_6_0.tif	9	96	25	24.82842712474619	90.0	1	410	1	386	23286.0	6985.0	1496.0	23286.0	25488.0	8001.0	1589.0	25488.0	0	409	null	null
E14_75I_6_0.tif	9	97	14	14.242640687119286	77.0	3	411	6	424	12822.0	2972.0	706.0	12822.0	14977.0	4052.0	822.0	14977.0	4	412	17	21
E14_75I_6_0.tif	9	98	7	8.071067811865476	130.0	6	424	1	430	4043.0	1431.0	460.0	4043.0	6008.0	1998.0	604.0	6008.0	5	425	17	18
E14_75I_6_0.tif	9	99	21	20.82842712474619	90.0	1	430	1	410	11640.0	3129.0	1039.0	11640.0	13791.0	3917.0	1158.0	13791.0	0	429	null	null
E14_75I_6_0.tif	9	100	25	31.041630560342625	35.0	6	424	30	441	31578.0	5234.0	1128.0	31578.0	33336.0	5874.0	1238.0	33336.0	7	424	18	21
E14_75I_6_0.tif	9	101	20	19.82842712474619	0.0	30	442	11	442	7933.0	4764.0	828.0	7933.0	9236.0	5219.0	942.0	9236.0	29	443	null	null
E14_75I_6_0.tif	9	102	13	15.313708498984763	45.0	11	442	1	432	6292.0	1735.0	1224.0	6292.0	8053.0	2192.0	1380.0	8053.0	11	441	18	19
E14_75I_6_0.tif	9	103	3	2.8284271247461903	90.0	1	432	1	430	582.0	330.0	91.0	582.0	2360.0	877.0	238.0	2360.0	0	431	null	null
E14_75I_6_0.tif	9	104	23	22.82842712474619	45.0	11	442	1	432	32673.0	4840.0	5731.0	32673.0	34434.0	5297.0	5887.0	34434.0	10	443	18	19
E14_75I_6_0.tif	9	105	14	15.485281374238573	25.0	15	59	28	65	9135.0	4980.0	518.0	9135.0	10527.0	5812.0	598.0	10527.0	16	60	20	26
E14_75I_6_0.tif	9	106	18	19.48528137423857	103.0	28	65	24	82	21894.0	5751.0	1026.0	21894.0	23763.0	6863.0	1111.0	23763.0	28	66	33	20
E14_75I_6_0.tif	9	107	4	3.414213562373095	162.0	24	82	21	83	2387.0	1121.0	99.0	2387.0	5014.0	2235.0	190.0	5014.0	23	83	20	27
E14_75I_6_0.tif	9	108	26	28.313708498984766	18.0	29	396	54	404	30183.0	6892.0	4296.0	30183.0	32606.0	7287.0	4735.0	32606.0	30	397	35	21
E14_75I_6_0.tif	9	109	23	24.071067811865476	87.0	54	404	55	426	13075.0	5377.0	800.0	13075.0	14340.0	5920.0	889.0	14340.0	54	405	48	21
E14_75I_6_0.tif	9	110	26	31.213203435596434	149.0	55	426	30	441	20943.0	6243.0	1059.0	20943.0	21737.0	6929.0	1134.0	21737.0	54	427	21	37
E14_75I_6_0.tif	9	111	9	10.071067811865476	148.0	25	109	33	104	7313.0	3070.0	1208.0	7313.0	9710.0	4161.0	1441.0	9710.0	26	108	22	27
E14_75I_6_0.tif	9	112	24	25.485281374238575	5.0	33	104	56	106	22706.0	7259.0	5937.0	22706.0	25064.0	8352.0	6127.0	25064.0	34	105	22	39
E14_75I_6_0.tif	9	113	7	7.656854249492381	34.0	56	106	62	110	3519.0	2056.0	233.0	3519.0	5028.0	2861.0	335.0	5028.0	57	107	49	22
E14_75I_6_0.tif	9	114	24	24.242640687119287	83.0	62	110	65	133	18538.0	6013.0	1013.0	18538.0	19540.0	6952.0	1099.0	19540.0	62	111	53	22
E14_75I_6_0.tif	9	115	18	21.55634918610405	123.0	65	133	54	150	11277.0	5421.0	691.0	11277.0	12339.0	6327.0	775.0	12339.0	64	134	22	47
E14_75I_6_0.tif	9	116	23	25.313708498984763	160.0	54	150	32	158	24035.0	6516.0	897.0	24035.0	25284.0	7136.0	982.0	25284.0	53	151	22	40
E14_75I_6_0.tif	9	117	11	10.828427124746192	0.0	10	1	20	1	12011.0	2057.0	1123.0	12011.0	14384.0	2657.0	1263.0	14384.0	11	0	1	23
E14_75I_6_0.tif	9	118	19	20.485281374238575	162.0	26	352	44	346	23262.0	4803.0	4752.0	23262.0	25872.0	5692.0	5132.0	25872.0	27	352	24	28
E14_75I_6_0.tif	9	119	19	22.970562748477146	34.0	44	346	62	358	18425.0	6602.0	2854.0	18425.0	20645.0	7450.0	3077.0	20645.0	45	347	24	43
E14_75I_6_0.tif	9	120	17	18.48528137423857	111.0	62	358	56	374	18141.0	4654.0	1436.0	18141.0	20938.0	5452.0	1558.0	20938.0	61	359	50	24
E14_75I_6_0.tif	9	121	29	35.04163056034262	146.0	56	374	29	392	40864.0	7923.0	2550.0	40864.0	43397.0	9161.0	2740.0	43397.0	55	375	35	24
E14_75I_6_0.tif	9	122	32	36.384776310850235	167.0	29	224	60	217	24948.0	5031.0	3645.0	24948.0	27145.0	5731.0	4206.0	27145.0	30	224	34	25
E14_75I_6_0.tif	9	123	23	26.142135623730955	24.0	60	217	82	227	28153.0	5471.0	5893.0	28153.0	30721.0	6091.0	6487.0	30721.0	61	218	52	25
E14_75I_6_0.tif	9	124	31	32.485281374238575	90.0	82	227	82	257	21980.0	6149.0	1474.0	21980.0	23853.0	7054.0	1623.0	23853.0	82	228	65	25
E14_75I_6_0.tif	9	125	18	21.970562748477146	141.0	82	257	66	270	13282.0	4047.0	1115.0	13282.0	15345.0	5092.0	1208.0	15345.0	81	258	55	25
E14_75I_6_0.tif	9	126	20	20.242640687119287	171.0	66	270	47	273	20711.0	5018.0	1109.0	20711.0	22367.0	5866.0	1192.0	22367.0	65	270	25	41
E14_75I_6_0.tif	9	127	25	29.798989873223338	27.0	47	273	23	261	33744.0	8086.0	1570.0	33744.0	35495.0	9055.0	1675.0	35495.0	46	272	25	31
E14_75I_6_0.tif	9	128	13	13.242640687119287	14.0	30	44	42	47	8780.0	4605.0	483.0	8780.0	10893.0	5639.0	590.0	10893.0	31	45	36	26
